ЕО	Единица транспортировки
100189775	703$000820
100189776	703$000830
100189777	703$000840
100189778	703$000850
100189779	703$000860
100189780	703$000870
#Н/Д	703$000880
100189781	703$000890
100189782	703$000900
100189783	703$000910
100189784	703$000920
100189785	703$000930
#Н/Д	703$000940
100189786	703$000950
100189787	703$000960
100189788	703$000970
100189789	703$000980
100189790	703$000990
#Н/Д	703$001000
100189766	703$001010
100189760	703$001020
100189717	703$001030
100189718	703$001040
100189727	703$001050
100189728	703$001060
100189729	703$001070
100189730	703$001080
100189731	703$001090
100189734	703$001100
100189736	703$001110
100189739	703$001120
100189740	703$001130
100189773	703$001140
100157554	704$000010
100157555	704$000020
100157556	704$000030
100157557	704$000040
100157558	704$000050
100157559	704$000060
100157560	704$000070
100157561	704$000080
100157562	704$000090
100157563	704$000100
100157564	704$000110
100157565	704$000120
100157566	704$000130
100157567	704$000140
100157568	704$000150
100157569	704$000160
100157570	704$000170
100157571	704$000180
100157573	704$000190
100157574	704$000200
100157575	704$000210
100157576	704$000220
100157577	704$000230
100157578	704$000240
100157579	704$000250
100157580	704$000260
100157581	704$000270
100157582	704$000280
100157583	704$000290
100157584	704$000300
100157585	704$000310
100157587	704$000320
100157588	704$000330
100157589	704$000340
100157590	704$000350
100157591	704$000360
100157592	704$000370
100157593	704$000380
100157594	704$000390
100157595	704$000400
100157596	704$000410
100157597	704$000420
100157598	704$000430
100157599	704$000440
100157600	704$000450
100157601	704$000460
100157602	704$000470
100157603	704$000480
100157604	704$000490
100157605	704$000500
100157606	704$000510
100157607	704$000520
100157608	704$000530
100157609	704$000540
100157610	704$000550
100157611	704$000560
100157612	704$000570
100157613	704$000580
100157614	704$000590
100157615	704$000600
100157616	704$000610
100157617	704$000620
100157618	704$000630
100157619	704$000640
100157620	704$000650
100157621	704$000660
100157622	704$000670
100157623	704$000680
100157624	704$000690
100157625	704$000700
100157626	704$000710
100157627	704$000720
100157628	704$000730
100157629	704$000740
100157630	704$000750
100157631	704$000760
100157632	704$000770
100157633	704$000780
100157634	704$000790
100157635	704$000800
100157636	704$000810
100157637	704$000820
100157638	704$000830
100157639	704$000840
100157640	704$000850
100157641	704$000860
100157642	704$000870
100157643	704$000880
100157644	704$000890
100157645	704$000900
100157646	704$000910
100157647	704$000920
100157648	704$000930
100157649	704$000940
100157650	704$000950
100157651	704$000960
100157652	704$000970
100157653	704$000980
100157654	704$000990
100157655	704$001000
100157656	704$001010
100157657	704$001020
100157658	704$001030
100157659	704$001040
100157660	704$001050
100157661	704$001060
100157662	704$001070
100157663	704$001080
100157664	704$001090
100157665	704$001100
100157666	704$001110
100157667	704$001120
100157668	704$001130
100157669	704$001140
100157670	704$001150
100157671	704$001160
100157673	704$001170
100157674	704$001180
100157675	704$001190
100157676	704$001200
100157677	704$001210
100157678	704$001220
